"1.1.5.Proporción de la población que habita en hogares en pobreza alimentaria en el ámbito rural",""
"Periodo","Canasta rural"
"2014","963.9"
"2012","896.74"
"2010","779.21"
"2008","706.69"
"2006","598.7"
"2005","584.34"
"2004","548.17"
"2002","494.77"
"2000","463.36"
"1998","388.13"
"1996","289.47"
"1994","142.87"
"1992","124.75"
"1989","NA"
