"","4.6.2.Tasa de alfabetización de las personas de 15 a 24 años de edad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morelos","340,163","340,849","340,869","340,147","338,678","336,422","333,372","329,676","325,507","320,934","316,618","313,011","310,227","309,174","308,374","307,779","307,585","307,700","309,368","310,761","311,618","311,708","310,916","309,218","306,643","303,299","299,293"
"Nayarit","217,913","216,256","214,460","212,403","210,061","207,520","204,749","201,656","198,378","195,088","192,146","189,728","187,863","187,098","186,563","186,111","185,825","185,799","186,624","187,240","187,523","187,342","186,624","185,364","183,607","181,404","178,836"
"Nuevo León","869,864","862,690","855,191","847,487","839,796","832,361","825,153","817,751","811,001","804,950","799,872","796,022","793,438","792,676","792,473","792,494","792,600","792,393","792,438","791,492","789,209","785,217","779,169","770,942","760,544","748,118","733,838"
"Oaxaca","757,486","758,247","756,921","753,300","747,507","740,288","732,354","723,841","715,894","708,045","702,343","700,053","701,403","702,067","703,581","705,217","707,112","709,601","708,835","707,559","705,351","701,885","697,109","691,260","684,642","677,486","669,667"
"Puebla","1,177,499","1,175,098","1,170,506","1,163,511","1,154,266","1,143,125","1,130,579","1,116,059","1,100,875","1,086,007","1,074,364","1,066,448","1,062,021","1,057,051","1,052,976","1,049,556","1,047,207","1,045,671","1,040,943","1,035,384","1,028,361","1,019,397","1,008,214","994,970","980,014","963,468","945,366"
"Querétaro","373,106","372,132","370,659","368,570","365,824","362,416","358,431","353,965","349,380","344,587","340,335","336,893","334,283","331,277","328,357","325,495","322,920","320,587","317,259","313,672","309,706","305,240","300,172","294,517","288,364","281,788","274,788"
"Quintana Roo","289,872","287,053","284,104","280,934","277,515","273,801","269,738","265,302","260,603","255,534","250,152","244,556","238,803","232,569","225,962","219,018","211,840","204,412","196,468","188,350","180,111","171,785","163,394","154,981","146,593","138,255","129,971"
"San Luis Potosí","513,034","512,641","511,236","508,709","504,940","500,019","494,289","487,899","481,103","474,057","467,998","463,444","460,449","459,669","459,507","459,882","461,125","463,253","467,188","470,950","474,126","476,312","477,256","476,977","475,596","473,076","469,276"
"Sinaloa","534,477","533,973","532,617","530,470","527,614","524,320","520,889","517,440","513,630","509,863","506,650","504,404","503,228","503,928","505,051","506,247","507,139","507,660","509,344","510,693","511,305","510,847","509,080","505,928","501,432","495,694","488,906"
"Sonora","519,750","516,242","512,197","507,531","502,221","496,287","489,831","483,176","476,659","470,248","464,452","459,618","455,792","452,224","449,220","446,736","444,722","442,853","440,427","437,946","434,994","431,399","427,059","421,930","416,002","409,301","401,912"
"Tabasco","437,355","437,726","437,800","437,502","436,777","435,622","434,045","432,089","429,972","427,680","425,296","422,938","420,653","418,186","415,693","413,106","410,355","407,360","403,633","399,205","394,066","388,219","381,643","374,386","366,571","358,348","349,826"
"Tamaulipas","614,654","611,251","607,309","602,791","597,801","592,516","587,182","582,283","577,616","572,869","568,553","565,002","562,183","560,226","558,260","556,021","553,383","549,914","546,339","542,598","538,465","533,717","528,155","521,667","514,229","505,903","496,832"
"Tlaxcala","239,755","238,203","236,345","234,155","231,657","228,850","225,818","222,669","219,610","216,519","213,843","211,714","210,132","208,252","206,490","204,795","203,176","201,588","199,198","196,683","193,969","191,018","187,743","184,159","180,341","176,337","172,197"
"Veracruz de Ignacio de la Llave","1,442,043","1,446,484","1,447,963","1,445,900","1,439,974","1,430,367","1,417,887","1,403,018","1,387,567","1,372,523","1,360,465","1,352,510","1,348,848","1,348,614","1,351,441","1,357,266","1,366,485","1,379,241","1,393,363","1,406,581","1,417,810","1,425,873","1,429,922","1,429,629","1,425,096","1,416,320","1,402,932"
"Yucatán","374,448","375,939","377,023","377,481","377,281","376,346","374,729","372,460","369,631","366,276","362,660","358,944","355,436","351,932","348,459","344,924","341,221","337,326","333,078","328,751","324,217","319,323","314,012","308,307","302,264","295,980","289,536"
"Zacatecas","288,357","288,624","288,514","287,865","286,661","285,038","283,189","281,152","279,051","276,823","275,285","274,757","275,232","277,839","280,579","283,277","286,155","289,344","294,644","299,777","304,466","308,402","311,368","313,332","314,369","314,539","313,851"
