"","4.6.2.Tasa de alfabetización de las personas de 15 a 24 años de edad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","21,857,234","21,827,692","21,769,103","21,675,789","21,546,680","21,387,270","21,206,021","21,007,753","20,801,676","20,590,066","20,407,253","20,267,519","20,172,715","20,118,308","20,078,721","20,046,887","20,027,174","20,018,515","20,023,340","20,014,646","19,980,585","19,910,027","19,795,109","19,634,190","19,429,252","19,182,922","18,896,984"
"Aguascalientes","244,443","242,957","241,086","238,755","235,937","232,691","229,119","225,338","221,437","217,419","213,778","210,760","208,381","206,530","204,882","203,415","202,269","201,380","200,775","200,106","199,220","197,973","196,256","194,052","191,373","188,234","184,652"
"Baja California","636,722","634,690","631,334","626,299","619,755","611,833","602,746","593,159","583,158","572,957","563,207","554,010","545,425","537,336","529,409","521,617","514,066","506,375","498,439","490,176","481,243","471,369","460,303","447,935","434,158","418,950","402,346"
"Baja California Sur","138,949","136,171","133,277","130,261","127,183","124,070","120,931","117,779","114,806","111,973","109,339","106,970","104,911","102,986","101,184","99,481","97,906","96,443","94,820","93,013","91,017","88,822","86,426","83,867","81,177","78,389","75,530"
"Campeche","165,192","165,361","165,268","164,808","163,911","162,595","160,958","159,058","156,941","154,653","152,327","150,085","148,019","146,117","144,330","142,583","140,793","138,886","136,836","134,613","132,184","129,511","126,609","123,505","120,226","116,842","113,400"
"Coahuila de Zaragoza","532,568","529,418","525,297","520,233","514,346","507,841","501,179","494,795","488,559","482,527","477,319","473,350","470,757","469,484","469,095","469,397","470,123","470,797","471,513","472,046","472,076","471,214","469,166","465,841","461,267","455,494","448,526"
"Colima","127,798","127,361","126,863","126,213","125,379","124,322","123,008","121,465","119,780","117,963","116,241","114,680","113,312","112,360","111,464","110,623","109,946","109,403","109,176","108,854","108,359","107,623","106,611","105,330","103,799","102,057","100,130"
"Chiapas","1,076,455","1,067,887","1,056,950","1,043,605","1,027,893","1,010,750","993,160","975,148","957,448","940,188","924,204","909,478","895,944","881,906","868,601","855,168","841,169","827,116","811,125","794,931","778,402","761,430","743,970","726,087","707,886","689,495","670,999"
"Chihuahua","653,538","650,147","646,321","641,945","637,040","632,064","626,802","622,644","617,022","610,790","604,978","600,351","596,895","594,682","592,848","590,920","588,967","586,846","585,177","583,361","581,103","578,081","573,998","568,719","562,118","554,135","544,735"
"Ciudad de México","1,355,943","1,376,096","1,397,218","1,418,954","1,440,961","1,463,098","1,485,686","1,508,739","1,531,677","1,553,590","1,575,451","1,597,894","1,621,251","1,646,043","1,670,710","1,695,004","1,718,974","1,742,582","1,767,435","1,792,295","1,816,213","1,838,070","1,856,884","1,872,215","1,884,121","1,892,887","1,898,588"
"Durango","331,423","330,487","328,878","326,496","323,359","319,748","315,908","311,977","308,673","304,762","301,193","298,451","296,619","296,727","297,323","298,142","299,136","300,328","303,138","305,839","308,230","310,077","311,171","311,445","310,923","309,656","307,704"
"Guanajuato","1,102,343","1,103,352","1,102,246","1,098,619","1,092,511","1,085,078","1,077,107","1,067,811","1,057,958","1,047,522","1,041,048","1,039,703","1,042,747","1,047,402","1,052,528","1,057,078","1,062,115","1,068,849","1,075,891","1,082,104","1,086,251","1,087,616","1,085,737","1,080,623","1,072,467","1,061,463","1,047,705"
"Guerrero","708,316","708,332","706,205","701,451","694,238","685,029","674,705","663,770","652,741","641,759","632,406","625,390","621,201","620,112","620,260","621,255","622,963","625,281","629,184","633,041","636,321","638,487","639,247","638,650","636,954","634,350","630,750"
"Hidalgo","517,222","515,736","513,713","511,088","507,711","503,412","498,137","491,995","485,668","479,246","474,058","470,668","469,071","468,865","469,254","470,296","472,469","475,599","479,442","483,067","486,099","488,195","489,126","488,946","487,717","485,377","481,846"
"Jalisco","1,426,223","1,425,569","1,423,735","1,420,268","1,414,877","1,407,360","1,397,885","1,386,770","1,374,066","1,359,826","1,346,414","1,334,841","1,325,107","1,320,652","1,316,275","1,311,994","1,308,515","1,305,644","1,308,164","1,309,666","1,309,342","1,306,451","1,300,462","1,291,156","1,278,582","1,262,946","1,244,535"
"México","3,004,192","2,989,903","2,972,745","2,952,118","2,927,376","2,898,434","2,866,132","2,831,178","2,795,105","2,759,386","2,725,998","2,695,304","2,667,737","2,645,066","2,624,311","2,605,056","2,587,971","2,572,973","2,559,882","2,543,448","2,522,901","2,497,252","2,465,719","2,427,714","2,382,986","2,331,605","2,274,091"
"Michoacán de Ocampo","846,131","850,818","854,252","855,921","855,627","853,646","850,325","845,691","840,160","833,502","828,260","825,542","825,347","829,258","833,261","836,934","840,942","845,311","853,194","860,444","866,327","870,172","871,588","870,538","867,191","861,726","854,420"
