"","3.3.3.Tasa de incidencia asociada al paludismo (por 100 mil habitantes)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nuevo León","5,085,848","5,013,589","4,941,059","4,868,844","4,797,263","4,723,273","4,646,180","4,566,871","4,487,206","4,408,836","4,330,486","4,254,706","4,180,268","4,103,482","4,026,904","3,950,061","3,876,894","3,806,709","3,735,127","3,663,689","3,591,906","3,519,985","3,448,999","3,378,692","3,308,191","3,236,128"
"Oaxaca","4,012,295","3,986,206","3,959,042","3,930,833","3,901,419","3,868,109","3,838,339","3,804,078","3,773,572","3,753,744","3,749,560","3,738,874","3,715,944","3,696,385","3,677,835","3,671,421","3,654,932","3,623,477","3,596,113","3,566,944","3,535,280","3,501,881","3,468,037","3,433,323","3,396,857","3,361,672"
"Puebla","6,193,836","6,131,498","6,067,607","6,002,161","5,935,014","5,863,823","5,796,436","5,722,490","5,651,042","5,590,760","5,545,664","5,493,482","5,428,158","5,364,489","5,301,444","5,250,025","5,188,507","5,113,198","5,042,096","4,969,986","4,895,089","4,815,366","4,734,278","4,654,771","4,575,107","4,494,848"
"Querétaro","2,004,472","1,974,436","1,943,889","1,912,803","1,881,105","1,848,191","1,815,459","1,780,583","1,746,996","1,716,842","1,692,334","1,666,361","1,636,560","1,607,589","1,579,076","1,554,518","1,527,014","1,495,409","1,465,233","1,434,671","1,403,630","1,372,231","1,340,778","1,309,252","1,277,558","1,245,271"
"Quintana Roo","1,574,824","1,529,877","1,484,960","1,440,115","1,395,357","1,350,945","1,305,885","1,261,970","1,218,194","1,174,644","1,134,284","1,094,787","1,054,642","1,015,299","976,468","938,812","900,778","862,418","825,084","788,218","751,792","715,788","680,236","645,180","610,571","574,852"
"San Luis Potosí","2,753,478","2,728,208","2,702,145","2,675,311","2,647,570","2,616,459","2,589,037","2,555,735","2,525,095","2,499,894","2,477,675","2,460,435","2,445,009","2,425,828","2,407,204","2,390,310","2,378,237","2,367,678","2,352,995","2,336,411","2,317,524","2,296,679","2,274,743","2,251,877","2,227,649","2,202,098"
"Sinaloa","2,984,571","2,958,691","2,932,313","2,905,750","2,878,525","2,851,334","2,820,908","2,787,098","2,753,754","2,721,660","2,689,158","2,660,125","2,633,143","2,602,506","2,571,178","2,537,959","2,508,118","2,481,249","2,451,312","2,420,265","2,387,913","2,354,573","2,320,874","2,286,742","2,251,748","2,215,227"
"Sonora","2,932,821","2,892,464","2,851,462","2,809,806","2,767,364","2,727,032","2,679,501","2,632,192","2,586,060","2,542,078","2,501,653","2,460,302","2,416,527","2,373,321","2,330,502","2,289,991","2,247,827","2,203,557","2,160,460","2,117,226","2,073,741","2,030,370","1,987,353","1,944,455","1,901,710","1,858,664"
"Tabasco","2,383,900","2,359,444","2,334,493","2,309,071","2,283,140","2,252,641","2,229,667","2,202,203","2,174,464","2,147,091","2,120,331","2,092,064","2,062,700","2,033,695","2,004,482","1,975,910","1,946,169","1,914,591","1,882,554","1,849,738","1,816,022","1,781,609","1,746,827","1,711,673","1,675,650","1,637,553"
"Tamaulipas","3,543,366","3,502,721","3,461,336","3,419,338","3,376,515","3,334,664","3,290,198","3,239,174","3,184,546","3,129,386","3,075,303","3,022,458","2,968,581","2,911,087","2,852,000","2,790,660","2,729,528","2,671,744","2,615,528","2,560,332","2,505,876","2,452,645","2,401,107","2,350,664","2,300,861","2,252,956"
"Tlaxcala","1,278,308","1,260,628","1,242,734","1,224,637","1,206,291","1,186,143","1,168,846","1,149,453","1,130,405","1,113,144","1,098,660","1,082,473","1,063,593","1,045,455","1,027,495","1,011,736","993,724","973,084","953,724","934,238","914,661","895,027","875,468","856,069","836,761","817,427"
"Veracruz de Ignacio de la Llave","8,046,828","7,985,893","7,923,198","7,858,604","7,791,801","7,712,247","7,646,283","7,571,413","7,505,280","7,451,476","7,409,930","7,372,393","7,333,249","7,294,006","7,257,778","7,232,656","7,209,103","7,173,835","7,128,785","7,075,631","7,013,920","6,945,101","6,871,335","6,793,533","6,709,491","6,615,976"
"Yucatán","2,118,762","2,091,513","2,064,151","2,036,694","2,009,160","1,980,690","1,953,829","1,925,861","1,898,633","1,872,573","1,848,087","1,823,186","1,797,323","1,771,733","1,746,077","1,721,303","1,695,601","1,668,680","1,642,042","1,614,983","1,587,453","1,559,473","1,531,251","1,502,887","1,474,038","1,444,723"
"Zacatecas","1,576,068","1,563,324","1,550,179","1,536,674","1,522,741","1,509,019","1,494,169","1,476,134","1,459,907","1,448,005","1,437,330","1,432,635","1,431,569","1,426,392","1,421,912","1,417,715","1,419,786","1,425,943","1,428,038","1,428,912","1,427,952","1,425,591","1,422,730","1,419,273","1,414,769","1,408,922"
