"6.3.1.Proporción de aguas residuales tratadas de manera segura",""
"Periodo","Volumen de agua residual municipal que recibe tratamiento"
"2015","120.902"
"2014","111.25"
"2013","105.935"
"2012","99.75"
"2011","97.64"
"2010","93.6"
"2009","88.127"
"2008","83.64"
"2007","79.294"
"2006","74.388"
"2005","71.785"
"2004","64.542"
"2003","60.243"
"2002","56.149"
"2001","50.81"
"2000","45.927"
"1999","42.397"
"1998","40.855"
