"7.2.1.Proporción de la energía renovable en el consumo final total de energía",""
"Periodo","Consumo total de energía"
"2015","5,094.74"
"2014","4,897.58"
"2013","4,928.45"
"2012","4,887.56"
"2011","4,900.01"
"2010","4,707.75"
"2009","4,547.40"
"2008","4,797.03"
"2007","4,639.59"
"2006","4,481.90"
"2005","4,256.81"
"2004","4,142.99"
