"2.1.3.Proporción de la población por debajo del nivel mínimo de proteínas",""
"Periodo","Media"
"2014","4.5"
"2012","4.5"
"2010","4.5"
"2008","4.5"
"2006","4.5"
"2005","4.5"
"2004","4.5"
"2002","4.5"
"2000","4.5"
"1998","4.4"
"1996","4.4"
"1994","4.4"
"1992","4.4"
