"1.1.4.Proporción de la población que habita en hogares en pobreza alimentaria en el ámbito urbano",""
"Periodo","Canasta urbana"
"2014","1,296.50"
"2012","1,197.42"
"2010","1,047.94"
"2008","949.38"
"2006","809.87"
"2005","790.74"
"2004","739.6"
"2002","672.27"
"2000","626.62"
"1998","524.45"
"1996","388.81"
"1994","193.4"
"1992","167.96"
"1989","90.1"
