"7.2.1.Proporción de la energía renovable en el consumo final total de energía",""
"Periodo","Consumo de energía renovable"
"2015","447.68"
"2014","465.26"
"2013","446.1"
"2012","424.49"
"2011","435.81"
"2010","438.66"
"2009","409.66"
"2008","459.61"
"2007","421.14"
"2006","432.87"
"2005","430.46"
"2004","409.75"
