"","8.3.1.Proporción del empleo informal en el empleo no agropecuario, desglosada por sexo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Periodo","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres"
"2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18,139,285","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10,542,388","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7,596,898","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17,556,836","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10,343,228","","","","","","","","","","","","","","","","","","","","","","","","",""
"2003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7,213,609","","","","","","","","","","","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16,807,296","","","","","","","","","","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9,948,228","","","","","","","","","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6,859,069","","","","","","","","","","","","","","","","","","","","",""
"2001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16,168,132","","","","","","","","","","","","","","","","","","","",""
"2001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9,570,710","","","","","","","","","","","","","","","","","","",""
"2001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6,597,422","","","","","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15,990,448","","","","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9,500,972","","","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6,489,475","","","","","","","","","","","","","","",""
"1999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15,453,363","","","","","","","","","","","","","",""
"1999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9,217,201","","","","","","","","","","","","",""
"1999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6,236,162","","","","","","","","","","","",""
"1998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15,552,258","","","","","","","","","","",""
"1998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9,284,046","","","","","","","","","",""
"1998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6,268,212","","","","","","","","",""
"1997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14,741,497","","","","","","","",""
"1997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8,634,076","","","","","","",""
"1997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6,107,421","","","","","",""
"1996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14,077,499","","","","",""
"1996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8,664,699","","","",""
"1996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5,412,800","","",""
"1995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13,143,907","",""
"1995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7,939,326",""
"1995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5,204,581"
