"7.3.1.Intensidad energética medida en función de la energía primaria y el PIB",""
"Periodo","Producto Interno Bruto"
"2015","14,139.0"
"2014","13,774.0"
"2013","13,468.3"
"2012","13,287.5"
"2011","12,774.2"
"2010","12,277.7"
"2009","11,680.7"
"2008","12,256.9"
"2007","12,087.6"
"2006","11,718.7"
"2005","11,160.5"
"2004","10,832.0"
