"","8.3.1.Proporción del empleo informal en el empleo no agropecuario, desglosada por sexo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Periodo","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres","Total","Hombres","Mujeres"
"2016","44,884,492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016","","25,907,167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016","","","18,977,325","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","","","","43,867,387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","","","","","25,356,322","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","","","","","","18,511,066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2014","","","","","","","42,664,863","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2014","","","","","","","","24,688,116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2014","","","","","","","","","17,976,747","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2013","","","","","","","","","","42,561,787","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2013","","","","","","","","","","","24,472,009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2013","","","","","","","","","","","","18,089,778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
