"","8.3.1.Proporción del empleo informal en el empleo no agropecuario, desglosada por sexo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","42,083,787","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","","24,273,364","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","","","17,810,424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","","","","40,744,404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","","","","","23,693,835","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","","","","","","17,050,569","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","","","","","","","39,755,806","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","","","","","","","","23,121,257","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","","","","","","","","","16,634,549","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2009","","","","","","","","","","","","","","","","","","","","","","39,218,059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2009","","","","","","","","","","","","","","","","","","","","","","","22,777,702","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2009","","","","","","","","","","","","","","","","","","","","","","","","16,440,357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2008","","","","","","","","","","","","","","","","","","","","","","","","","38,829,925","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2008","","","","","","","","","","","","","","","","","","","","","","","","","","22,767,972","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2008","","","","","","","","","","","","","","","","","","","","","","","","","","","16,061,953","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","","","","","","","","","","","","","","","","38,186,338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22,352,316","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15,834,023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37,251,794","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21,864,333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15,387,461","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35,860,125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21,228,195","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14,631,930","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33,756,695","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20,334,414","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13,422,281","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32,711,675","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19,882,547","","","","","","","","","","","","","","","","","","","","","","","","",""
"2003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12,829,128","","","","","","","","","","","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31,889,944","","","","","","","","","","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19,410,746","","","","","","","","","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12,479,198","","","","","","","","","","","","","","","","","","","","",""
"2001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31,336,810","","","","","","","","","","","","","","","","","","","",""
"2001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19,111,956","","","","","","","","","","","","","","","","","","",""
"2001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12,224,854","","","","","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31,148,325","","","","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19,034,803","","","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12,113,522","","","","","","","","","","","","","","",""
"1999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29,384,570","","","","","","","","","","","","","",""
"1999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18,121,442","","","","","","","","","","","","",""
"1999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11,263,128","","","","","","","","","","","",""
"1998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29,387,011","","","","","","","","","","",""
"1998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18,131,239","","","","","","","","","",""
"1998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11,255,772","","","","","","","","",""
"1997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27,191,568","","","","","","","",""
"1997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16,683,410","","","","","","",""
"1997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10,508,158","","","","","",""
"1996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26,223,742","","","","",""
"1996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16,349,286","","","",""
"1996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9,874,456","","",""
"1995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24,689,189","",""
"1995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15,316,465",""
"1995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9,372,724"
