"","3.3.12.Proporción de casos nuevos de tuberculosis pulmonar que curan al terminar el tratamiento","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007"
"Estados Unidos Mexicanos","10,959","11,176","11,149","10,943","10,918","10,591","10,088","10,121","9,552"
"Aguascalientes","31","23","31","25","27","45","26","29","29"
"Baja California","752","742","732","713","693","685","617","669","595"
"Baja California Sur","109","98","108","100","105","74","87","68","74"
"Campeche","76","70","92","81","90","82","66","58","71"
"Coahuila de Zaragoza","310","289","378","334","318","318","291","299","286"
"Colima","86","96","70","91","114","87","70","79","73"
"Chiapas","865","849","852","860","758","823","770","802","650"
"Chihuahua","334","316","308","350","396","354","355","318","330"
"Ciudad de México","295","279","322","306","295","309","274","299","299"
"Durango","111","119","103","138","146","108","111","133","119"
"Guanajuato","217","217","241","178","251","234","228","213","194"
"Guerrero","916","830","873","771","774","737","755","709","601"
"Hidalgo","115","132","141","183","155","177","161","167","156"
"Jalisco","432","501","436","471","414","456","394","363","514"
"México","383","370","323","417","400","357","354","357","304"
"Michoacán de Ocampo","169","200","185","186","218","197","186","179","226"
"Morelos","103","108","135","92","101","108","87","101","115"
"Nayarit","183","183","169","174","186","177","167","177","184"
"Nuevo León","724","619","729","721","729","631","558","609","565"
"Oaxaca","331","448","428","428","426","453","471","469","420"
"Puebla","274","357","301","296","318","266","304","308","300"
"Querétaro","82","88","91","92","80","80","91","93","60"
"Quintana Roo","185","170","139","163","138","141","133","103","66"
"San Luis Potosí","210","206","201","209","204","210","248","231","195"
"Sinaloa","533","526","514","521","453","500","440","447","435"
"Sonora","523","525","485","462","457","448","483","446","421"
"Tabasco","415","465","409","357","342","293","295","280","238"
"Tamaulipas","706","734","731","685","776","784","651","633","638"
"Tlaxcala","30","47","41","42","41","36","33","35","20"
"Veracruz de Ignacio de la Llave","1,284","1,414","1,402","1,339","1,337","1,292","1,234","1,253","1,223"
"Yucatán","134","120","139","120","133","92","101","143","114"
"Zacatecas","41","35","40","38","43","37","47","51","37"
