"6.3.1.Proporción de aguas residuales tratadas de manera segura",""
"Periodo","Volumen de agua residual municipal generada"
"2015","231.83"
"2014","228.7"
"2013","230.2"
"2012","229.735"
"2011","236.353"
"2010","235.084"
"2009","237.46"
"2008","235.84"
"2007","242.81"
"2006","242.1"
"2005","265.63"
"2004","255.17"
"2003","255.3"
"2002","252"
"2001","252"
"2000","250"
"1999","239"
"1998","239"
