"6.3.1.Proporción de aguas residuales tratadas de manera segura",""
"Periodo","Volumen de agua residual industrial generada"
"2015","214.64"
"2014","211.36"
"2013","210.26"
"2012","209.8"
"2011","207.3"
"2010","212.6"
"2009","190.4"
"2008","190.4"
"2007","188.7"
"2006","183"
"2005","178"
"2004","178"
"2003","171"
"2002","170.6"
"2001","171.45"
"2000","169.87"
"1999","170"
"1998","159.48"
