"6.3.1.Proporción de aguas residuales tratadas de manera segura",""
"Periodo","Volumen de agua residual industrial que recibe tratamiento"
"2015","70.5"
"2014","65.6"
"2013","60.752"
"2012","60.5"
"2011","50.4"
"2010","63.599"
"2009","36.7"
"2008","33.778"
"2007","29.866"
"2006","27.658"
"2005","26.818"
"2004","27.395"
"2003","27.385"
"2002","26.231"
"2001","25.353"
"2000","25.28"
"1999","22.021"
"1998","21.951"
