"2.1.3.Proporción de la población por debajo del nivel mínimo de proteínas",""
"Periodo","Coeficiente de variación"
"2014","0.2"
"2012","0.2"
"2010","0.2"
"2008","0.1"
"2006","0.1"
"2005","0.1"
"2004","0.2"
"2002","0.1"
"2000","0.1"
"1998","0.1"
"1996","0.1"
"1994","0.1"
"1992","0.1"
